No.;Nama Potensi Wisata;Kode ;X;Y;Elevasi (m);Foto;KET;Nama Gampong;Sejarah;Keunikan Objek;Jalur Akses;Fasilitas;Transportasi;kondisi wisata
12;Pelabuhan PPKS;U4;95,0851666666667;5,66455555555556;-30;25;;;;;;;;
13;penginapan (home Stay);U2;95,08275;5,67094444444444;-30;26;;;;;;;;
14;Meunasah;U1;95,0838888888889;5,67363888888889;-32;27;;;;;;;;
15;Kantor Mukim;U3;95,0824444444444;5,67052777777778;-30;28;;;;;;;;
16;(snorkling );BL3;95,0904722222222;5,66894444444444;-29;29;;Blang Situngkoh ;Bencana Tsunami 2004,Cerita rakyat : ada jin api;Ada ikan warna warni,Terumbung karang,Berbagai macam aneka hayati;Kendaraan beroda;Boat untuk mengakses diving,Bale (rumah panggung Aceh),Kede minuman;Perahu,Boat;Keadaan beranting kayu
17;Meunasah ;BL1;95,0956111111111;5,67188888888889;-23;30;;;;;;;;
18;(snorkling );P1;95,1047222222222;5,66827777777778;-28;32;;Paloh;Pernah terkena Tsunami 2004;Banyak Pondok ,Banyak karan dan Ikan  ;Hanya bisa dengan motor;Tempat makan atau balai dengan area parkir;;Pantai masih bagus, tapi tempat duduk mengalami kerusakan,Bersih
19;Meunasah ;P2;95,1043611111111;5,67066666666667;-23;33;;;;;;;;
20;Kantor keuchik;P3;95,1045;5,67033333333333;-19;34;;;;;;;;
21;Kantor Keuchi Lampuyang ;L3;95,1295555555556;5,67155555555556;30;35;;;;;;;;
22;Homestay Lampuyang ;L1;95,1334444444445;5,67491666666667;-30;36;;;;;;;;
23;gedung serbaguna(BPKS);L1;95,1334444444445;5,67491666666667;-30;38;;;;;;;;
24;kantor camat ;L7;95,1177777777778;5,67069444444444;-29;40;;;;;;;;
25;Puskesmas;L4;95,1287777777778;5,67136111111111;-31;41;;;;;;;;
26;mesjid ;L5;95,1274444444444;5,67202777777778;-28;42;;;;;;;;
27;musolla ;L6;95,1280555555555;5,67213888888889;-29;43;;;;;;;;
28;pelabuhan lampuyang ;L2;95,1353888888889;5,67438888888889;-32;44;;;;;;;;
29;Aroh lampuyang(tempat pancing);LH3;95,13875;5,66441666666667;-41;45;;Lhoh;pernah terdampak tsunami;Sejuk;Masuk pemukiman dan jarak setapak dengan 1 honda,hanya dapat diakses dengan motor kemudian di daki;;;Bersih dan bagus,Tidak ada hewan
30;meunasah ;LH1;95,1322222222222;5,67005555555556;-32;46;;;;;;;;
31;kantor Keuchik;LH2;95,1316666666667;5,67022222222222;-33;47;;;;;;;;
32;Air terjun Lapeng ;LP ;95,0943888888889;5,69183333333333;;48;;Lapeng;Air terjun lapeng sudah ada sejak dahulu dan digunakan masyarakat desa lapeng sebagai sumber mata air  untuk mandi dan dikomsusi ;Memiliki bendungan kecil yang berada di atas air terjun dan juga terdapat 2 tampugan air. Dan air terjun hanya ada saat musim hujan  dikarenakan air yang meluap dari bendungan ;Harus berjalan kaki sejauh 700 meter dari jalan utama melewati kebun dan sungai kecil ;;;Banyak berbatuan di sungai
33;Hutan Magrove sudah jadi savana;LP;95,1038333333333;5,69730555555556;;49;;Lapeng;Dulunya terdapat banyak tanaman bakau namun dikarena air sudah semakin surut dan sungai juga memiliki debit air yang kecil lokasi ini mirip lapangan rimput yang hijau yang terdapat sungai2 kecil  ;Tanah yang  dapat terendam bila terdapat dibit air yang tinggi dari hulu sungai ;Track terdapat dibelakang sekolah  SD lapeng yang melewati jalan semen yang rusak dan diujung terdapat jalan setapak yang mengarah ke sunggai lapeng  ; ;;Memiliki nilai keindahannya sendiri dengan sungai kecil dan juga rerumputan hijau
34;Snorkling pelabuhan ;LP;95,1125833333333;5,69697222222222;;50;;Lapeng;Dapat diakses melalui pelabuhan lapeng;;Laut dengan menggunakan transportasi yang terdapat di pelabuhan ;Parkiran, warkop, dan kamar mandi yang belom dapat diakses;Boat dan kapal nelayan ;
35;Pelabuhan nelayan ;LP;95,1094722222222;5,69972222222222;;51;;;;;;;;
36;Mesjid ;LP;95,0979722222222;5,69666666666667;4;52;;;;;;;;
37;keuchik ;LP;95,08525;5,69158333333333;;53;;;;;;;;
38;kuburan  tsunami;LP;95,1061944444444;5,69822222222222;;55;;Lapeng;Disaat Tsunami 2004 terdapat banyak korban yang tidak memiliki indentitas  yang terdampar didesa lapeng. Didesa ini terdapat 2 lokasi pemakaman yang satu berada di pinggir jalan utama desa lapeng, satu lokasi lagi terdapat diseberang teluk sungai dengan kondisi yang tidak terawat;Tidak terdapat warga asli desa lapeng, banyak masyarakat yang merupakan pendatang dari luar pulo aceh ;Dapat dilewati dengan motor sampai menuju keteluk dan dilanjutkan dengan berjalan kaki dari dipinggir teluk  pase dan setelah melihat pohon yang besar belok kiri melewati hutan yang lumayan berakar  ;;;Tidak terawat dan sulit diakses
39;taman impian 3R;;95,1052222222222;5,69802777777778;;56;;Lapeng;Meupakan Komunitas yang berfungsi untuk mengedukasi anak remaja dengan Pomdok baca dan juga mebuat taman sejak 2 tahun terakhir yang berfungsi untuk membuat taman yang ramah lingkunagn tanpa perlu membukan lahn dengan mebakar atau pun mengunkan pestisida;Mempunyai podok dan fasilitas dengan arsitektur yang unik dan juga terdapat seni sampah( pohon2 yang digantung sampah dari laut yang dibuat oeh seniman dari jerman untuk membuat sit film);Berada disebelah jalan utama;Kamar mandi, sumur air tawar yang sangat dalam, dan juga terdapat taman Bunga serta lokasi perkebunan ;;Bersih dari sampah dan juga mendaur ulang sampah yang ada disekitarnya 
40;Ujong ngapeh (Spot macing);LP;95,1118055555555;5,701;;57;;Lapeng;Dulu di dekat daerah spot mancing terdapat banyak tanaman kapas jadi disebut ujung ngapeh (ujung kapas);Terdapat batuan yang unik dan lokasi yang memiliki pemandangan yang indah berupa air yang jernih dan juga kita dapat melihat pulau sabang dan banda aceh dari kejauhan;Menuju desa lapeng kita harus melewati jalan melewati gunung dan juga lembah dengan jarak yang cukup jauh dari desa lainnya. Di ujung jalan desa kita dapat menemui pelabuhan untuk memakirkan motor dan dapat dilanjutin dengan berjalan kaki sejauh 475 meter melewati jalur setapak yang berada di daerah kebun warga dengan memanjat 2 pagar kebun ;Tempat parkir, warkop, pelabuhan dan juga terdapat pondok yang berada dijalan setapak menuju titik pemancingan  ;;Masih alami dan juga indah dengan pemandangan pohon dan juga berbatuan Tidak terawat dan sulit diakses
41;Kumude Cut (snorkling );;95,1099166666667;5,70691666666667;;58;;;;;;;;
42;keuchik ;AR2;95,0594722222222;5,70922222222222;24;60;;;;;;;;
43;Rapai Debus;AR4;95,0595555555555;5,71211111111111;22;61;;;;;;;;
44;Meunasah ;AR1;95,0594722222222;5,70911111111111;10;62;;;;;;;;
45;Spot Camping pantai ;AR5;95,0593611111111;5,71241666666667;-22;63;;Alue Raya;Pernah terkena Tsunami  2004;Tempat camping yang luas,Pemandangan laut dan bukit,Karang dan ikan;Bisa masuk Motor dan mobil;;;Masih alami dan juga indah dengan pemandangan pohon dan juga berbatuan 
46;Lhok krut (snorkling ) dengan Pelabuhan ;AR3;95,0549444444444;5,71066666666667;-27;64;;Alue Raya;;Banyak ikan dan karang ;Hanya bisa dilalui dengan motor;;;Bersih dan adem,banyak kekurangan Fasilitas pendukung  
47;(snorkling )dekat pelabuhan ;;95,0735;5,72302777777778;0;65;;Rinon;;;;;;
48;pantai Rinon;;95,07225;5,72372222222222;1;66;;Rinon;Rinon berasal dari RI NOL diberi nama karna sebenar sebelum titik nol disabang gampong rinon merupakan titik pertama ;Pantai memiliki ombak yang kecil sehingga air yang  tenang;Dapat diakses dengan mengunakan motor, mobil dan kendaraan lain ;Kantin,Pondok,Dekat musalla,Terdapat spot foto perahu;;Indah namun terdapat beberapa titik yang terdapat sampah dan juga terdapat pelabuhan nelayan sehingga banyak perahu nelayan yang berlayar
49;Goh Cumok;;95,077061;5,702378;;67;;;;;;;;
50;mesjid ;;95,06175;5,71727777777778;5;68;;;;;;;;
51;Wiliiam Torren ;;95,05725;5,75097222222222;34;69;;Melingge;Mercusuar Willem's Torrent III berdiri kokoh di ujung Desa Meulingge di Pulau Breueh, Kecamatan Pulo Aceh, Aceh Besar. Menara suar berusia ratusan tahun peninggalan Belanda itu disebut hanya ada tiga di dunia.Mercusuar yang dibangun Belanda pada 1875 itu berada di hutan Meulingge yang menghadap ke Samudera Hindia. Untuk ke lokasi, traveler dari Banda Aceh dapat menuju ke Pulau Breueh menggunakan kapal nelayan.;Wisata ini tidak dibuka setiap harinya ada waktu waktu tertentu, namun jika ingin berkunjung di hari yang tutup bisa menggunjungi perkarangannya saja, karena di Lokasi wisata ini tidak hanya ada mercusuar melainkan terdapat penjara di jaman Belanda. Untuk pengunjung yang akan datang disarankan membawa payung, jaket, dan topi, dikarenkan cuaca yang sangat Terik jika panas dan dingin jika hujan turun.;Akses jalan menuju mercusuar bagus dapat diakses mengunakan semua kedaraan namun jalan yang berkelok dan juga menanjak ;didaerah wisata ini tidak menyediakan kantin jadi diharapkan penggunjung membawa bekal sendiri;;Bagus dan bersih namun ada beberapa kerusakan dan akses yang gratis tanpa dipungut biaya 
52;Pelabuhan ujung peuneng ;;95,0658333333333;5,7425;;70;;;;;; ;;
53;Gua sarang ;;95,0127777777778;5,72388888888889;;71;;;;;;;;
54;pulau sidom ;;95,0336388888889;5,74514722222222;;74;;;;;;;;
55;Ujong peunong Diving ;;95,0658333333333;5,7425;;76;;;;;;;;
56;mesjid ;;95,0419444444444;5,73830555555556;6;77;;;;;;;;
57;keuchik ;;95,0421666666667;5,73852777777778;6;78;;;;;;;;
58;SPOT FOTO di jalan menara william ;;95,0465;5,74186111111111;50;79;;Melingge;Menjadi spot yang indah karena berada ditebing yang dapat melihat pantai melingge dari atas gunung;Terdapat dipinggir jalan menuju mercusuar dgn kondisi tempat yang disemen;;;;Tersemen namun tidak ada pembatas
59;Pantai melingge;;95,0439444444444;5,73641666666667;2;80;;Melingge;;;;Kantin,Pondok,Dekat musalla,Terdapat spot foto perahu,Dan terdapat pondok latihan rapai debus;;Pelabuhan yang rusah dan terdapat akses jalan yang sedikit rusak didekat pelabuhan,pelabuhan nelayan sehingga banyak perahu nelayan yang berlayar
60;Bate le blah ;;95,0119444444444;5,75583333333333;50;81;;;;;;;;
